"long" "lat" "order" "hole" "piece" "id" "group"
899298.21697926 1381496.59829214 184 FALSE 1 5 5.1
901966.3870572 1381545.99619392 185 FALSE 1 5 5.1
903245.43591425 1381797.6677045 186 FALSE 1 5 5.1
906039.51054176 1383760.64931135 187 FALSE 1 5 5.1
908524.35109246 1385978.7337809 188 FALSE 1 5 5.1
908901.84334521 1387570.79146815 189 FALSE 1 5 5.1
910174.92591405 1389990.4711057 190 FALSE 1 5 5.1
912031.09338325 1392221.15271959 191 FALSE 1 5 5.1
913742.64825032 1394120.21646126 192 FALSE 1 5 5.1
914758.93432497 1395268.5613227 193 FALSE 1 5 5.1
916348.45878649 1396338.52080644 194 FALSE 1 5 5.1
917016.7142327 1396683.46329399 195 FALSE 1 5 5.1
918573.50630111 1396013.60600534 196 FALSE 1 5 5.1
920036.62165835 1394661.50142669 197 FALSE 1 5 5.1
921303.47435428 1394017.69455441 198 FALSE 1 5 5.1
922061.68629959 1392921.34581397 199 FALSE 1 5 5.1
923084.37898383 1391570.23913242 200 FALSE 1 5 5.1
926320.94714411 1388998.72691434 201 FALSE 1 5 5.1
928543.43102669 1386816.20148453 202 FALSE 1 5 5.1
930887.4831389 1384246.50604349 203 FALSE 1 5 5.1
934256.86986365 1381542.75697167 204 FALSE 1 5 5.1
937173.26033594 1378209.4720393 205 FALSE 1 5 5.1
939837.97245624 1375695.14953007 206 FALSE 1 5 5.1
942448.71907682 1373512.90820922 207 FALSE 1 5 5.1
946126.19926165 1369725.83551013 208 FALSE 1 5 5.1
947705.95797644 1368123.38950694 209 FALSE 1 5 5.1
948538.73702701 1367278.79076338 210 FALSE 1 5 5.1
949496.00806399 1365618.73867492 211 FALSE 1 5 5.1
949560.23037235 1363572.58326662 212 FALSE 1 5 5.1
949424.55722546 1360310.03234402 213 FALSE 1 5 5.1
949938.33170151 1356095.59724239 214 FALSE 1 5 5.1
950001.35467096 1353662.35753066 215 FALSE 1 5 5.1
951144.85751751 1350276.79939978 216 FALSE 1 5 5.1
952091.45536944 1347588.25424331 217 FALSE 1 5 5.1
953678.09750277 1345982.96467998 218 FALSE 1 5 5.1
955905.0353397 1343990.09233977 219 FALSE 1 5 5.1
956290.13753178 1342640.39651101 220 FALSE 1 5 5.1
954886.67783516 1340606.74037675 221 FALSE 1 5 5.1
952091.95954407 1337302.58430963 222 FALSE 1 5 5.1
950115.30554973 1335711.99790772 223 FALSE 1 5 5.1
947951.26677654 1334575.12933801 224 FALSE 1 5 5.1
946747.12462523 1333625.33483267 225 FALSE 1 5 5.1
945918.00003308 1332287.99403802 226 FALSE 1 5 5.1
945981.40574197 1329534.01165105 227 FALSE 1 5 5.1
945537.62659239 1328008.23192877 228 FALSE 1 5 5.1
944961.14803307 1325332.39832038 229 FALSE 1 5 5.1
942924.12097922 1320291.45603981 230 FALSE 1 5 5.1
941452.70393909 1317362.36067081 231 FALSE 1 5 5.1
940942.91915104 1315770.34859303 232 FALSE 1 5 5.1
941138.30192975 1312960.8798207 233 FALSE 1 5 5.1
941645.27812492 1312186.08389364 234 FALSE 1 5 5.1
942594.01867153 1311731.52494687 235 FALSE 1 5 5.1
943166.29621899 1310580.60049008 236 FALSE 1 5 5.1
943552.04625552 1309817.04444569 237 FALSE 1 5 5.1
943992.62476086 1309108.69865934 238 FALSE 1 5 5.1
944819.57530181 1308145.57117695 239 FALSE 1 5 5.1
946032.71506043 1306728.54836551 240 FALSE 1 5 5.1
947368.4711162 1306472.75337917 241 FALSE 1 5 5.1
949145.29939977 1305055.21841144 242 FALSE 1 5 5.1
950357.86238869 1303704.71301467 243 FALSE 1 5 5.1
950798.81166098 1302366.0769112 244 FALSE 1 5 5.1
951371.83131245 1301657.67924408 245 FALSE 1 5 5.1
951945.59211775 1300827.624979 246 FALSE 1 5 5.1
952961.43749094 1300627.57179101 247 FALSE 1 5 5.1
954043.72046223 1301201.70336325 248 FALSE 1 5 5.1
954938.64887095 1301444.15625065 249 FALSE 1 5 5.1
955700.24123782 1301443.47058835 250 FALSE 1 5 5.1
956528.61061323 1301697.1382732 251 FALSE 1 5 5.1
956915.68579477 1302139.1534767 252 FALSE 1 5 5.1
957104.8272982 1303609.91279033 253 FALSE 1 5 5.1
957425.66499316 1304439.12651097 254 FALSE 1 5 5.1
958563.77984151 1305455.65469587 255 FALSE 1 5 5.1
960541.46841056 1307234.62244345 256 FALSE 1 5 5.1
960984.03396828 1308705.1905774 257 FALSE 1 5 5.1
961371.97268904 1310363.81014856 258 FALSE 1 5 5.1
961560.60564693 1311381.15664328 259 FALSE 1 5 5.1
961881.46918725 1312398.40070675 260 FALSE 1 5 5.1
962323.7076871 1313548.23775787 261 FALSE 1 5 5.1
963473.40467915 1314697.59647971 262 FALSE 1 5 5.1
964168.9473184 1315648.17983877 263 FALSE 1 5 5.1
964556.12892203 1316477.38595783 264 FALSE 1 5 5.1
965693.77399288 1317427.66981473 265 FALSE 1 5 5.1
965948.24611468 1317615.54850608 266 FALSE 1 5 5.1
966267.61651513 1316664.17534311 267 FALSE 1 5 5.1
966839.89045185 1314805.78137183 268 FALSE 1 5 5.1
967225.61388285 1313522.60903902 269 FALSE 1 5 5.1
967478.02958788 1311863.52159076 270 FALSE 1 5 5.1
967477.17840122 1310580.61227253 271 FALSE 1 5 5.1
968050.96714231 1309562.74678009 272 FALSE 1 5 5.1
968877.95322064 1307958.56875745 273 FALSE 1 5 5.1
968689.21707134 1306554.12009558 274 FALSE 1 5 5.1
967860.33705995 1305282.82123693 275 FALSE 1 5 5.1
966711.68414458 1304586.83466554 276 FALSE 1 5 5.1
965694.85949816 1303315.69639021 277 FALSE 1 5 5.1
965065.1592535 1302741.05095133 278 FALSE 1 5 5.1
964169.93685376 1301978.54753539 279 FALSE 1 5 5.1
962447.24225481 1301028.72699465 280 FALSE 1 5 5.1
961871.79465945 1299878.93878367 281 FALSE 1 5 5.1
961816.05685192 1298607.14601251 282 FALSE 1 5 5.1
962001.67844485 1296749.00859447 283 FALSE 1 5 5.1
962321.24477596 1294835.45301524 284 FALSE 1 5 5.1
962254.38947116 1294448.42154277 285 FALSE 1 5 5.1
962452.32695006 1293231.76054337 286 FALSE 1 5 5.1
962558.05444219 1292641.83061242 287 FALSE 1 5 5.1
962704.90627904 1291827.00477777 288 FALSE 1 5 5.1
962194.36076312 1288575.85223072 289 FALSE 1 5 5.1
961872.83930625 1286850.84200119 290 FALSE 1 5 5.1
961684.42907459 1286209.50621175 291 FALSE 1 5 5.1
961749.60062995 1284351.47027477 292 FALSE 1 5 5.1
962951.9307552 1281663.11534777 293 FALSE 1 5 5.1
963723.36355429 1279682.91882823 294 FALSE 1 5 5.1
964042.24384303 1277703.0543076 295 FALSE 1 5 5.1
964737.16562343 1275844.59496275 296 FALSE 1 5 5.1
966327.11026215 1273664.81826339 297 FALSE 1 5 5.1
967032.25483413 1271751.12604581 298 FALSE 1 5 5.1
967794.16893777 1270213.36053606 299 FALSE 1 5 5.1
967858.49139691 1267912.96048317 300 FALSE 1 5 5.1
967670.26588358 1266187.84820247 301 FALSE 1 5 5.1
967857.06591107 1265612.65621016 302 FALSE 1 5 5.1
968564.15401641 1265225.14811877 303 FALSE 1 5 5.1
969327.12302897 1265224.69221416 304 FALSE 1 5 5.1
969702.27817669 1265213.39779017 305 FALSE 1 5 5.1
970785.03757687 1264195.30995159 306 FALSE 1 5 5.1
